symbol,price_min,price_max,price_avg,price_variance,trade_count,total_volume,price_first,price_last,price_stddev,window_start,window_end,window_start_str,window_end_str
ETHUSDT,2323.43,2323.62,2323.5698245614017,0.0019451016922699333,114,3.272400000000008,2323.61,2323.43,0.04410330704459625,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
XRPUSDT,1.4297,1.4298,1.42978,1.9999999999990046E-9,5,1139.6,1.4298,1.4298,4.472135954998466E-5,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
DOGEUSDT,0.09499,0.095,0.09499124999999999,1.1413043478255486E-11,24,81355.0,0.09499,0.095,3.378319623460084E-6,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
DOGEUSDT,0.09498,0.09498,0.09498000000000002,0.0,19,4351.0,0.09498,0.09498,0.0,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
XRPUSDT,1.4297,1.4298,1.4297100000000003,9.999999999997798E-10,10,1544.8,1.4297,1.4298,3.162277660168031E-5,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
ETHUSDT,2323.59,2323.62,2323.602459016393,7.551912568442484E-5,61,1.7516999999999987,2323.59,2323.61,0.008690174088269166,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
ADAUSDT,0.2493,0.2493,0.2493,0.0,5,568.4,0.2493,0.2493,0.0,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
SOLUSDT,86.35,86.36,86.35714285714286,2.380952380954761E-5,7,5.014,86.36,86.35,0.004879500364745105,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
AVAXUSDT,9.4,9.4,9.400000000000004,0.0,27,1404.0599999999995,9.4,9.4,0.0,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
BNBUSDT,633.19,633.2,633.1918750000002,1.625000000008135E-5,16,2.0039999999999996,633.19,633.19,0.004031128874159365,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
BNBUSDT,633.03,633.19,633.1212137203139,0.0021408510281827925,379,10.296000000000058,633.19,633.03,0.04626933139978135,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
SOLUSDT,86.32,86.35,86.33816326530612,9.14369871660327E-5,98,250.82600000000025,86.35,86.32,0.009562268933994311,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
AVAXUSDT,9.4,9.4,9.4,,1,58.9,9.4,9.4,,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
DOGEUSDT,0.09496,0.09499,0.09497633333333341,1.1175141242945311E-10,60,8257.0,0.09499,0.09496,1.0571254061342633E-5,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
ETHUSDT,2322.79,2323.42,2323.113724489789,0.03370476277407178,392,6.923300000000014,2323.42,2322.79,0.183588569290334,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
XRPUSDT,1.4295,1.4297,1.4295793103448282,6.231094978800739E-9,58,4492.9,1.4297,1.4295,7.893728509899956E-5,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
